year,i,j,n_j,n_p,t_p,t_c,first_name,family_name,gender
2009,BAUDOT PIERRE YVES,2009_ST45,16,3,7,5,YVES,BAUDOT PIERRE,m
2009,BAYART JEAN FRANCOIS,2009_CP2,4,2,2,1,JEAN FRANCOIS,BAYART,m
2009,BAYART JEAN FRANCOIS,2009_ST9,12,2,2,1,JEAN FRANCOIS,BAYART,m
2009,BEAL VINCENT,2009_ST26,10,1,3,3,VINCENT,BEAL,m
2009,BEAUDONNET LAURIE,2009_ST14,36,1,2,2,LAURIE,BEAUDONNET,f
2009,BEAULIEU YANNICK,2009_ST38,18,1,1,1,YANNICK,BEAULIEU,m
2009,BEAUSSIER ANNE LAURE,2009_ST11,15,1,4,4,ANNE LAURE,BEAUSSIER,f
2009,BECLARD JULIEN,2009_ST21,19,1,1,1,JULIEN,BECLARD,m
2009,BELAALA SELMA,2009_ST31,15,1,1,1,SELMA,BELAALA,f
2009,BELARBI MHAMMED,2009_ST49,15,1,1,1,MHAMMED,BELARBI,m
2009,BELOMO PELAGIE,2009_ST37,18,1,1,1,PELAGIE,BELOMO,f
2009,BELOT CELINE,2009_ST32,13,1,5,3,CELINE,BELOT,f
2009,BENDJABALLAH SELMA,2009_ST11,15,1,2,2,SELMA,BENDJABALLAH,f
2009,BENBOUZID BILEL,2009_ST43,21,1,3,3,BILEL,BENBOUZID,m
2009,BENNANI MOUNIA,2009_ST49,15,1,1,1,MOUNIA,BENNANI,f
2009,BENNINGHOFF MARTIN,2009_ST24,14,1,2,2,MARTIN,BENNINGHOFF,m
2009,BENQUET MARLENE,2009_ST8,13,1,1,1,MARLENE,BENQUET,f
2009,BENVEGNU NICOLAS,2009_ST43,21,1,3,3,NICOLAS,BENVEGNU,m
2009,BEN MABROUK TAOUFIK,2009_ST122,28,1,1,1,TAOUFIK,BEN MABROUK,m
2009,BERGAMASHI ISALINE,2009_ST32,13,1,2,2,ISALINE,BERGAMASHI,f
2009,BERGERON HENRI,2009_ST22,12,1,4,3,HENRI,BERGERON,m
2009,BERNADOU VANESSA,2009_ST46,9,1,1,1,VANESSA,BERNADOU,f
2009,BERNIER NICOLE,2009_ST14,36,1,1,1,NICOLE,BERNIER,f
2009,BERNY NATHALIE,2009_ST41,24,1,4,3,NATHALIE,BERNY,f
2009,BERTHET THIERRY,2009_ST121,19,2,3,2,THIERRY,BERTHET,m
2009,BERTHET THIERRY,2009_ST122,28,2,3,2,THIERRY,BERTHET,m
2009,BERTRAND GILLES,2009_ST32,13,2,6,4,GILLES,BERTRAND,m
2009,BERTRAND GILLES,2009_ST36,11,2,6,4,GILLES,BERTRAND,m
2009,BERTRAND ROMAIN,2009_CP2,4,5,5,1,ROMAIN,BERTRAND,m
2009,BERTRAND ROMAIN,2009_ST9,12,5,5,1,ROMAIN,BERTRAND,m
2009,BERTRAND ROMAIN,2009_ST35,13,5,5,1,ROMAIN,BERTRAND,m
2009,BERTRAND ROMAIN,2009_ST44,19,5,5,1,ROMAIN,BERTRAND,m
2009,BERTRAND ROMAIN,2009_ST50,20,5,5,1,ROMAIN,BERTRAND,m
2009,BEZES PHILIPPE,2009_ST14,36,3,10,5,PHILIPPE,BEZES,m
2009,BEZES PHILIPPE,2009_ST20,25,3,10,5,PHILIPPE,BEZES,m
2009,BEZES PHILIPPE,2009_ST25,11,3,10,5,PHILIPPE,BEZES,m
2009,BHERER LAURENCE,2009_ST122,28,1,1,1,LAURENCE,BHERER,f
2009,BIAVA ALESSIA,2009_ST21,19,1,1,1,ALESSIA,BIAVA,f
2009,BILAND EMILIE,2009_ST45,16,1,7,5,EMILIE,BILAND,f
2009,BIRNBAUM PIERRE,2009_ST3,10,1,1,1,PIERRE,BIRNBAUM,m
2009,BIRMAN JOEL,2009_ST51,12,1,1,1,JOEL,BIRMAN,m
2009,BLANCHARD EMMANUEL,2009_ST46,9,1,1,1,EMMANUEL,BLANCHARD,m
2009,BLANCHARD PHILIPPE,2009_ST40,5,1,2,2,PHILIPPE,BLANCHARD,m
2009,BLED AMANDINE,2009_ST41,24,1,1,1,AMANDINE,BLED,f
2009,BLOM AMELIE,2009_ST47,19,1,3,3,AMELIE,BLOM,f
2009,BLONDIAUX LOIC,2009_MD1,5,1,6,3,LOIC,BLONDIAUX,m
2009,BONARD YVES,2009_ST26,10,1,1,1,YVES,BONARD,m
2009,BONCOURT THIBAUD,2009_MD1,5,1,4,3,THIBAUD,BONCOURT,m
2009,BONNARD PASCAL,2009_ST36,11,1,3,3,PASCAL,BONNARD,m
2009,BORRAZ OLIVIER,2009_ST14,36,1,2,2,OLIVIER,BORRAZ,m
2009,BORRILLO DANIEL,2009_ST16,16,1,1,1,DANIEL,BORRILLO,m
2009,BORSENBERGER MONIQUE,2009_ST42,14,1,1,1,MONIQUE,BORSENBERGER,f
2009,BOSETTI LOUISE,2009_ST25,11,1,1,1,LOUISE,BOSETTI,f
2009,BOSSY SOPHIE,2009_ST37,18,1,1,1,SOPHIE,BOSSY,f
2009,BOSSY THIBAULT,2009_ST22,12,1,2,2,THIBAULT,BOSSY,m
2009,BOUILLAUD CHRISTOPHE,2009_ST1,16,2,7,3,CHRISTOPHE,BOUILLAUD,m
2009,BOUILLAUD CHRISTOPHE,2009_ST17,18,2,7,3,CHRISTOPHE,BOUILLAUD,m
2009,BOULAT REGIS,2009_ST33,26,1,1,1,REGIS,BOULAT,m
2009,BOURBLANC MAGALIE,2009_ST18,14,1,3,3,MAGALIE,BOURBLANC,f
2009,BOUSSAGUET LAURIE,2009_ST14,36,2,6,5,LAURIE,BOUSSAGUET,f
2009,BOUSSAGUET LAURIE,2009_ST15,15,2,6,5,LAURIE,BOUSSAGUET,f
2009,BOWLER SHAUN,2009_ST48,18,1,1,1,SHAUN,BOWLER,m
2009,BOY DANIEL,2009_ST41,24,1,4,3,DANIEL,BOY,m
2009,BOZONNET JEAN PAUL,2009_ST41,24,1,1,1,JEAN PAUL,BOZONNET,m
2009,BRACK NATHALIE,2009_ST11,15,1,2,2,NATHALIE,BRACK,f
2009,BRACONNIER CELINE,2009_ST5,26,3,10,4,CELINE,BRACONNIER,f
2009,BRACONNIER CELINE,2009_ST13,18,3,10,4,CELINE,BRACONNIER,f
2009,BRACONNIER CELINE,2009_ST34,16,3,10,4,CELINE,BRACONNIER,f
2009,BRECHON PIERRE,2009_ST42,14,1,3,3,PIERRE,BRECHON,m
2009,BRETON PHILIPPE,2009_ST44,19,1,1,1,PHILIPPE,BRETON,m
2009,BREUX SANDRA,2009_ST13,18,1,1,1,SANDRA,BREUX,f
2009,BRIATTE FRANCOIS,2009_ST22,12,2,5,4,FRANCOIS,BRIATTE,m
2009,BRIATTE FRANCOIS,2009_ST43,21,2,5,4,FRANCOIS,BRIATTE,m
2009,BRIQUET JEAN LOUIS,2009_ST7,18,2,5,3,JEAN LOUIS,BRIQUET,m
2009,BRIQUET JEAN LOUIS,2009_ST44,19,2,5,3,JEAN LOUIS,BRIQUET,m
2009,BROQUA CHRISTOPHE,2009_ST16,16,1,1,1,CHRISTOPHE,BROQUA,m
2009,BROSSIER MARIE,2009_ST8,13,1,3,3,MARIE,BROSSIER,f
2009,BRUNETEAUX PATRICK,2009_ST38,18,1,3,3,PATRICK,BRUNETEAUX,m
2009,BUCHET DE NEUILLY YVES,2009_ST19,5,1,2,2,YVES,BUCHET DE NEUILLY,m
2009,BUSSI MICHEL,2009_ST13,18,1,4,3,MICHEL,BUSSI,m
2009,BUISSON HELENE,2009_ST29,13,2,3,2,HELENE,BUISSON,f
2009,BUISSON HELENE,2009_ST45,16,2,3,2,HELENE,BUISSON,f
2009,BUTON FRANCOIS,2009_ST5,26,2,7,4,FRANCOIS,BUTON,m
2009,BUTON FRANCOIS,2009_ST47,19,2,7,4,FRANCOIS,BUTON,m
2009,CALCERRADA GWENAELLE,2009_ST31,15,1,1,1,GWENAELLE,CALCERRADA,f
2009,CAMAU MICHEL,2009_ST49,15,1,1,1,MICHEL,CAMAU,m
2009,CAMERATI FELIPE,2009_ST24,14,1,1,1,FELIPE,CAMERATI,m
2009,CAMPANA AURELIE,2009_ST31,15,1,2,2,AURELIE,CAMPANA,f
2009,CANELAS PAULO JOSE,2009_ST48,18,1,1,1,JOSE,CANELAS PAULO,m
2009,CANTELLI FABRIZIO,2009_CP2,4,1,1,1,FABRIZIO,CANTELLI,m
2009,CARDINAL LINDA,2009_ST39,17,1,2,2,LINDA,CARDINAL,f
2009,CARLES ALEXIS,2009_ST30,11,1,1,1,ALEXIS,CARLES,m
2009,CARON JEAN CLAUDE,2009_ST44,19,1,1,1,JEAN CLAUDE,CARON,m
2009,CARTER CAITRIONA,2009_ST122,28,1,4,3,CAITRIONA,CARTER,f
2009,CARTIER MARIE,2009_ST34,16,1,2,2,MARIE,CARTIER,f
2009,CARTIER STEPHANE,2009_ST49,15,1,1,1,STEPHANE,CARTIER,m
2009,CASTEL PATRICK,2009_ST22,12,1,4,3,PATRICK,CASTEL,m
2009,CATRICE ANTOINETTE,2009_ST23,21,1,1,1,ANTOINETTE,CATRICE,f
2009,CATUSSE MYRIAM,2009_ST9,12,3,7,3,MYRIAM,CATUSSE,f
2009,CATUSSE MYRIAM,2009_ST23,21,3,7,3,MYRIAM,CATUSSE,f
2009,CATUSSE MYRIAM,2009_ST49,15,3,7,3,MYRIAM,CATUSSE,f
2009,CAUNE HELENE,2009_ST1,16,1,2,2,HELENE,CAUNE,f
2009,CAUTRES BRUNO,2009_ST5,26,2,10,4,BRUNO,CAUTRES,m
2009,CAUTRES BRUNO,2009_ST13,18,2,10,4,BRUNO,CAUTRES,m
2009,CECCHINI ISABELLE,2009_ST15,15,1,1,1,ISABELLE,CECCHINI,f
2009,CELESTINE AUDREY,2009_ST36,11,1,5,3,AUDREY,CELESTINE,f
2009,CHAMPENOIS CLAIRE,2009_ST24,14,1,1,1,CLAIRE,CHAMPENOIS,f
2009,CHARTRAIN CECILE,2009_ST16,16,1,1,1,CECILE,CHARTRAIN,f
2009,CHEVRIER MARC,2009_CP2,4,3,3,1,MARC,CHEVRIER,m
2009,CHEVRIER MARC,2009_ST9,12,3,3,1,MARC,CHEVRIER,m
2009,CHEVRIER MARC,2009_ST52,17,3,3,1,MARC,CHEVRIER,m
2009,CHIASSON GUY,2009_ST121,19,1,2,2,GUY,CHIASSON,m
2009,CHICHE JEAN,2009_ST13,18,2,5,3,JEAN,CHICHE,m
2009,CHICHE JEAN,2009_ST48,18,2,5,3,JEAN,CHICHE,m
2009,CHOLOVA BLAGOVESTA,2009_ST7,18,1,1,1,BLAGOVESTA,CHOLOVA,f
2009,CHOLLET ANTOINE,2009_ST40,5,1,3,3,ANTOINE,CHOLLET,m
2009,CHOPIN OLIVIER,2009_ST11,15,2,2,1,OLIVIER,CHOPIN,m
2009,CHOPIN OLIVIER,2009_ST21,19,2,2,1,OLIVIER,CHOPIN,m
2009,CHRISTIAN PIERRE,2009_ST7,18,1,1,1,PIERRE,CHRISTIAN,m
2009,CIRULLI ADRIANO,2009_ST39,17,1,1,1,ADRIANO,CIRULLI,m
2009,CLAIRAT JEREMY,2009_ST43,21,1,2,2,JEREMY,CLAIRAT,m
2009,CLAVIER CAROLE,2009_ST14,36,3,3,1,CAROLE,CLAVIER,f
2009,CLAVIER CAROLE,2009_ST20,25,3,3,1,CAROLE,CLAVIER,f
2009,CLAVIER CAROLE,2009_ST22,12,3,3,1,CAROLE,CLAVIER,f
2009,CLEMENT FLORENT,2009_ST28,16,1,1,1,FLORENT,CLEMENT,m
2009,CLEMENT PIERRE,2009_ST10,11,1,1,1,PIERRE,CLEMENT,m
2009,COHEN ANTONIN,2009_ST18,14,1,4,4,ANTONIN,COHEN,m
2009,COLE ALISTAIR,2009_ST3,10,2,4,3,ALISTAIR,COLE,m
2009,COLE ALISTAIR,2009_ST39,17,2,4,3,ALISTAIR,COLE,m
2009,COLOMB FABRICE,2009_ST23,21,1,1,1,FABRICE,COLOMB,m
2009,COMBES HELENE,2009_ST37,18,1,4,3,HELENE,COMBES,f
2009,COMPAGNON DANIEL,2009_ST41,24,1,6,4,DANIEL,COMPAGNON,m
2009,CODACCIONI VANESSA,2009_ST10,11,1,1,1,VANESSA,CODACCIONI,f
2009,CONNAN DOMINIQUE,2009_ST33,26,2,2,1,DOMINIQUE,CONNAN,m
2009,CONNAN DOMINIQUE,2009_ST46,9,2,2,1,DOMINIQUE,CONNAN,m
2009,CONSTANTIN CORNELIA,2009_ST1,16,1,1,1,CORNELIA,CONSTANTIN,f
2009,CONTAMIN JEAN GABRIEL,2009_ST50,20,1,9,5,JEAN GABRIEL,CONTAMIN,m
2009,CONTER BERNARD,2009_ST121,19,2,3,2,BERNARD,CONTER,m
2009,CONTER BERNARD,2009_ST23,21,2,3,2,BERNARD,CONTER,m
2009,COSSART PAULA,2009_ST44,19,1,4,4,PAULA,COSSART,f
2009,COTE CATHERINE,2009_ST5,26,1,1,1,CATHERINE,COTE,f
2009,COUJARD VIRGILE,2009_ST2,10,1,1,1,VIRGILE,COUJARD,m
2009,COULOMB MARLENE,2009_ST6,18,1,1,1,MARLENE,COULOMB,f
2009,COULOUARN TANGUI,2009_ST33,26,1,1,1,TANGUI,COULOUARN,m
2009,COUTANT ISABELLE,2009_ST34,16,1,1,1,ISABELLE,COUTANT,f
2009,COUTURE YVES,2009_ST51,12,1,1,1,YVES,COUTURE,m
2009,CRESPY AMANDINE,2009_ST17,18,1,2,2,AMANDINE,CRESPY,f
2009,CRESPY CECILE,2009_ST24,14,1,2,2,CECILE,CRESPY,f
2009,CRETTIEZ XAVIER,2009_ST31,15,1,3,3,XAVIER,CRETTIEZ,m
2009,CROWLEY JOHN,2009_ST52,17,1,1,1,JOHN,CROWLEY,m
2009,CUADROS DANIELLA,2009_ST37,18,2,3,2,DANIELLA,CUADROS,f
2009,CUADROS DANIELLA,2009_ST38,18,2,3,2,DANIELLA,CUADROS,f
2009,CUEVAS HERNAN,2009_ST43,21,1,1,1,HERNAN,CUEVAS,m
2009,CUMIN DAVID,2009_ST31,15,1,3,3,DAVID,CUMIN,m
2009,CUNY CECILE,2009_ST122,28,1,2,2,CECILE,CUNY,f
2009,CUVI JACINTO,2009_ST25,11,1,1,1,JACINTO,CUVI,m
2009,DAGNIES JEREMY,2009_ST41,24,1,1,1,JEREMY,DAGNIES,m
2009,DAKOWSKA DOROTA,2009_ST1,16,1,8,5,DOROTA,DAKOWSKA,f
2009,DAMAY LUDIVINE,2009_ST122,28,1,1,1,LUDIVINE,DAMAY,f
2009,DAMIAN BEATRICE,2009_ST6,18,1,2,2,BEATRICE,DAMIAN,f
2009,DANIEL JUSTIN,2009_ST35,13,1,1,1,JUSTIN,DANIEL,m
2009,DAOUDY MARWA,2009_ST30,11,1,1,1,MARWA,DAOUDY,f
2009,DARGENT CLAUDE,2009_ST42,14,1,1,1,CLAUDE,DARGENT,m
2009,DARLEY MATHILDE,2009_ST16,16,1,5,4,MATHILDE,DARLEY,f
2009,DAUMAS JEAN CLAUDE,2009_ST33,26,1,1,1,JEAN CLAUDE,DAUMAS,m
2009,DAUNE ANNE MARIE,2009_ST27,10,1,1,1,ANNE MARIE,DAUNE,f
2009,DAVID MERYLL,2009_ST32,13,1,1,1,MERYLL,DAVID,f
2009,DAVID QUENTIN,2009_ST5,26,2,3,2,QUENTIN,DAVID,m
2009,DAVID QUENTIN,2009_ST13,18,2,3,2,QUENTIN,DAVID,m
2009,DAVID THOMAS,2009_ST33,26,1,1,1,THOMAS,DAVID,m
2009,DA RUI ELENA,2009_ST45,16,1,1,1,ELENA,DA RUI,f
2009,DEBLANDER CAROLINE,2009_ST41,24,1,1,1,CAROLINE,DEBLANDER,f
2009,DECARLO IVAN,2009_ST42,14,1,1,1,IVAN,DECARLO,m
2009,DECHEZELLES STEPHANIE,2009_ST37,18,1,6,4,STEPHANIE,DECHEZELLES,f
2009,DEGREMONT NADEGE,2009_ST47,19,1,1,1,NADEGE,DEGREMONT,f
2009,DELACOURT DIANE,2009_ST5,26,1,2,2,DIANE,DELACOURT,f
2009,DELLA SUDDA MAGALI,2009_ST6,18,1,6,4,MAGALI,DELLA SUDDA,f
2009,DELMOTTE FLORENCE,2009_ST122,28,1,2,2,FLORENCE,DELMOTTE,f
2009,DELORI MATHIAS,2009_ST28,16,1,4,2,MATHIAS,DELORI,m
2009,DELOYE YVES,2009_CP1,5,4,9,5,YVES,DELOYE,m
2009,DELOYE YVES,2009_MD1,5,4,9,5,YVES,DELOYE,m
2009,DELOYE YVES,2009_ST1,16,4,9,5,YVES,DELOYE,m
2009,DELOYE YVES,2009_ST48,18,4,9,5,YVES,DELOYE,m
2009,DELPEUCH THIERRY,2009_ST20,25,1,4,3,THIERRY,DELPEUCH,m
2009,DELWIT PASCAL,2009_ST34,16,1,1,1,PASCAL,DELWIT,m
2009,DENORD FRANCOIS,2009_ST33,26,1,2,2,FRANCOIS,DENORD,m
2009,DEPIGNY BERTRAND,2009_ST28,16,1,2,2,BERTRAND,DEPIGNY,m
2009,DEPIGNY MARINE,2009_ST31,15,1,1,1,MARINE,DEPIGNY,f
2009,DESCHAUX DELPHINE,2009_ST1,16,2,4,3,DELPHINE,DESCHAUX,f
2009,DESCHAUX DELPHINE,2009_ST21,19,2,4,3,DELPHINE,DESCHAUX,f
2009,DESRUMAUX CLEMENT,2009_ST37,18,1,7,5,CLEMENT,DESRUMAUX,m
2009,DESTREMAU BLANDINE,2009_ST23,21,1,1,1,BLANDINE,DESTREMAU,f
2009,DEVIN GUILLAUME,2009_ST32,13,1,5,5,GUILLAUME,DEVIN,m
2009,DEVINEAU JULIE,2009_ST25,11,1,2,2,JULIE,DEVINEAU,f
2009,DEVISSCHER CHRISTIAN,2009_ST45,16,1,1,1,CHRISTIAN,DEVISSCHER,m
2009,DEZE ALEXANDRE,2009_ST7,18,1,3,3,ALEXANDRE,DEZE,m
2009,DIAZ PAOLA,2009_ST43,21,1,2,2,PAOLA,DIAZ,f
2009,DIEZ MEDRANO JUAN,2009_ST1,16,1,1,1,JUAN,DIEZ MEDRANO,m
2009,DOBRY MICHEL,2009_ST50,20,1,2,2,MICHEL,DOBRY,m
2009,DOLEZ BERNARD,2009_ST48,18,1,2,2,BERNARD,DOLEZ,m
2009,DOMPNIER NATHALIE,2009_ST42,14,1,4,3,NATHALIE,DOMPNIER,f
2009,DONZEL ANDRE,2009_ST121,19,1,1,1,ANDRE,DONZEL,m
2009,DORMAGEN JEAN YVES,2009_ST5,26,3,9,5,JEAN YVES,DORMAGEN,m
2009,DORMAGEN JEAN YVES,2009_ST13,18,3,9,5,JEAN YVES,DORMAGEN,m
2009,DORMAGEN JEAN YVES,2009_ST34,16,3,9,5,JEAN YVES,DORMAGEN,m
2009,DORRONSORO GILLES,2009_ST47,19,1,4,3,GILLES,DORRONSORO,m
2009,DOUILLET ANNE CECILE,2009_ST122,28,1,6,4,ANNE CECILE,DOUILLET,f
2009,DRAKE HELEN,2009_ST19,5,1,2,2,HELEN,DRAKE,f
2009,DREYFUS FRANCOISE,2009_ST3,10,1,1,1,FRANCOISE,DREYFUS,f
2009,DUBOIS ERIC,2009_ST4,16,1,1,1,ERIC,DUBOIS,m
2009,DUBOIS MATHIEU,2009_ST37,18,1,1,1,MATHIEU,DUBOIS,m
2009,DUCLOS NATHALIE,2009_ST47,19,1,6,4,NATHALIE,DUCLOS,f
2009,DUEZ DENIS,2009_ST1,16,1,2,2,DENIS,DUEZ,m
2009,DUFOUR PASCALE,2009_ST37,18,1,1,1,PASCALE,DUFOUR,f
2009,DUFOURNET HELENE,2009_ST21,19,1,3,2,HELENE,DUFOURNET,f
2009,DULONG DELPHINE,2009_ST6,18,1,6,4,DELPHINE,DULONG,f
2009,DUPOIRIER ELISABETH,2009_ST48,18,1,1,1,ELISABETH,DUPOIRIER,f
2009,DUPUY CLAIRE,2009_ST14,36,1,6,4,CLAIRE,DUPUY,f
2009,DURIN GUILLAUME,2009_ST52,17,1,1,1,GUILLAUME,DURIN,m
2009,DUSEIGNEUR GUILLAUME,2009_ST17,18,1,1,1,GUILLAUME,DUSEIGNEUR,m
2009,EBERWEIN WOLF,2009_ST32,13,1,1,1,WOLF,EBERWEIN,m
2009,ELETA ROXANA,2009_ST23,21,1,1,1,ROXANA,ELETA,f
2009,EL MASLOUHI ABDERRAHIM,2009_ST49,15,1,1,1,ABDERRAHIM,EL MASLOUHI,m
2009,EMERI CLAUDE,2009_ST48,18,1,1,1,CLAUDE,EMERI,m
2009,ENGELI ISABELLE,2009_ST15,15,2,3,2,ISABELLE,ENGELI,f
2009,ENGELI ISABELLE,2009_ST16,16,2,3,2,ISABELLE,ENGELI,f
2009,ENNAJI MOHAMMED,2009_ST49,15,1,1,1,MOHAMMED,ENNAJI,m
2009,ENOS SOPHIE,2009_ST20,25,2,2,1,SOPHIE,ENOS,f
2009,ENOS SOPHIE,2009_ST21,19,2,2,1,SOPHIE,ENOS,f
2009,ENRIQUEZ EUGENE,2009_ST51,12,1,1,1,EUGENE,ENRIQUEZ,m
2009,EPSTEIN RENAUD,2009_ST121,19,2,5,4,RENAUD,EPSTEIN,m
2009,EPSTEIN RENAUD,2009_ST122,28,2,5,4,RENAUD,EPSTEIN,m
2009,EVRARD AURELIEN,2009_ST14,36,2,5,4,AURELIEN,EVRARD,m
2009,EVRARD AURELIEN,2009_ST41,24,2,5,4,AURELIEN,EVRARD,m
2009,EYMERI JEAN MICHEL,2009_ST3,10,1,7,5,JEAN MICHEL,EYMERI,m
2009,FALLON CATHERINE,2009_ST15,15,2,2,1,CATHERINE,FALLON,f
2009,FALLON CATHERINE,2009_ST24,14,2,2,1,CATHERINE,FALLON,f
2009,FARVAQUE ETIENNE,2009_ST4,16,1,1,1,ETIENNE,FARVAQUE,m
2009,FASSIN ERIC,2009_ST6,18,3,4,2,ERIC,FASSIN,m
2009,FASSIN ERIC,2009_ST34,16,3,4,2,ERIC,FASSIN,m
2009,FASSIN ERIC,2009_ST35,13,3,4,2,ERIC,FASSIN,m
2009,FAURE ALAIN,2009_ST122,28,1,4,3,ALAIN,FAURE,m
2009,FAUVELLE CHRISTINE,2009_ST4,16,3,5,2,CHRISTINE,FAUVELLE,f
2009,FAUVELLE CHRISTINE,2009_ST5,26,3,5,2,CHRISTINE,FAUVELLE,f
2009,FAUVELLE CHRISTINE,2009_ST13,18,3,5,2,CHRISTINE,FAUVELLE,f
2009,FAVRE PIERRE,2009_MD1,5,2,2,1,PIERRE,FAVRE,m
2009,FAVRE PIERRE,2009_CP5,4,2,2,1,PIERRE,FAVRE,m
2009,FELLI ROMAIN,2009_ST40,5,1,1,1,ROMAIN,FELLI,m
2009,FERHAT ISMAIL,2009_ST29,13,1,4,4,ISMAIL,FERHAT,m
2009,FERNANDEZ PASARIN ANA MAR,2009_ST19,5,1,1,1,MAR,FERNANDEZ PASARIN ANA,f
2009,FERREIRA ANTUNES SANDRINA,2009_ST39,17,1,1,1,SANDRINA,FERREIRA ANTUNES,f
2009,FERTIKH KARIM,2009_ST7,18,1,3,3,KARIM,FERTIKH,m
2009,FILLIEULE OLIVIER,2009_ST8,13,2,5,3,OLIVIER,FILLIEULE,m
2009,FILLIEULE OLIVIER,2009_ST16,16,2,5,3,OLIVIER,FILLIEULE,m
2009,FONTANA MARIE CHRISTINE,2009_ST20,25,1,1,1,MARIE CHRISTINE,FONTANA,f
2009,FORET FRANCOIS,2009_ST1,16,1,3,2,FRANCOIS,FORET,m
2009,FORTANE NICOLAS,2009_ST10,11,1,2,2,NICOLAS,FORTANE,m
2009,FONTAINE GUILLAUME,2009_ST25,11,1,1,1,GUILLAUME,FONTAINE,m
2009,FOUCAULT MARTIAL,2009_MD2,3,3,5,2,MARTIAL,FOUCAULT,m
